,alpha-acc,Conditions
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,0.5373134328358209,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
